status_id,text
1457400488039788500,At what point will the #commoncore integrate #compsci and #netizenship into curriculums for countries that are deeply dependent on #technology as a learning ‘solution’?
1457367800985628700,"@MaggieEThornton If enough were gathered could run a discourse analysis, but the gold standard would be to do something like Supovitz's #CommonCore project https://t.co/qROBwDpJCZ"
1457067681887174700,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
1.4567208425791201e+18,"#CCChat (Common Core Chat)
90) #CCSS (Common Core State Standards)
91) #CommonCore
92) #EdPolicy
93) #EdReform
94) #ESSA https://t.co/IRYo2HCr41"
1456682978139062300,6 ways to incorporate digital writing across the curriculum https://t.co/ISp4J9Pwnk #ccss #eBooks #digitalstorytelling https://t.co/tJpBZCdbMf
1456599846874501e3,Top 10 Reasons Why Standardized Testing Is Here to Stay https://t.co/5cSYQragyv #commoncore
1456599279972327400,"""I’ve had students who take home essays and they will misspell ‘American’ and forget to capitalize it.” Thanks #commoncore! https://t.co/3b4ZRrI6pj"
1454779277333962800,"""Again, I can’t be sure that I’m right. Maybe it was #CommonCore"" @MichaelPetrilli 
""It was #commoncore."" @CapitolAdvocate https://t.co/bKFbvxElDX"
1456417576792338400,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
1456248989284802600,"@4Patrick7 @BookerSparticus What an ignoramus. What possible excuse is there for someone too old to blame #commoncore? Willful blindness, partisanship and tearing the social fabric of America."
1456245852922695700,A lot of the crt debate reminds me of the common core math debate. Parents just upset something is new and different combined with isolated examples of bad lesson plans. Been a while since I heard complaints about common core math....  #CRT #commoncore #teaching
1456099768854216700,"#Republicans have been uniting us around #Florida #CommonCore for over 10 years now and #NewMexico launched ""it"" @ the grassroots level so not sure why #CRTinschools would be a threat to the #energy holding the #Anonymous #QANON Attack the Capitol agct #DNA connections together?"
1456095676501266400,"Listen to ""Episode 19: Big Lies in K-12""  (Nov. 3, 2021) at  https://t.co/UWaMsLUGAt 
#phonics   #constructivism   #commoncore  #dumbingdown  #socialism"
1456086320984432600,"The Shrewd Administrator
#E320CannabisStudy
#E320Leadership 
#E320Education 
#NVACS #CCSS #NGSS #ISTE 
https://t.co/eUGV6whHGv"
1456069317582368800,Never forget #CommonCore! https://t.co/co0UCdphI5
1456064980021915600,"@Tori_Sachs @GovWhitmer Charter backers hold no moral high ground 

@MiGOP's (@onetoughnerd @MISenate @MI_Republicans @pjcolbeck ) had an opportunity to give parents a voice - primarily by removing DC's &amp; Lansing's stranglehold over local curriculum

But they threw #StopCommonCore advocates #UnderTheBus"
1456001375054307300,"🥜 job #AWFL on airplane doesn’t want to breathe the “unvaccinated oxygen”of the passenger next to her.  
#commoncore #Science #edumacation #education #COVIDIOTS #COVID19"
1455986610550546400,"If you replace ""harvest the blood of children"" with ""indoctrinates children with socialist propaganda"" it's little more than a rerun of the vacuous hysterics we saw in response to #CommonCore. #edreform #politics https://t.co/QOd6skgSuH"
1455939348784947200,Is #commoncore math delaying the counting in #NewJersey?  Get it done! 🔥
1455697616004604e3,"Dear Dems, please be careful not to pass that 100% mark!!! #CommonCore"
1455694208363372500,"In the past couple of elections, the Dirty Democrats have proved that teaching &amp; learning #CommonCore math is screwing up the vote counting counters. Weird that the “discrepancies” always happen in key areas. #VirginiaVotes"
1455641320572297200,Someone at FadeawayWorld doesn't know how to count. They put L.James at 3 &amp; K.A.Jabbar at 4. Both have 10 appearances w/ KAJ winning 6 rings &amp; LJ winning 4 rings. Shouldn't KAJ be ranked 3rd and LJ be 4th?? Is this due to common core math?? #fadeawayworld #commoncore #CommonSense
1455556504434745300,"groups attempt ban""true history.#commoncore #Tennessee Nowhere instructed to make students feel less than as retired #teacher I initiated learning promoted critical thinking so history wouldn't repeat itself 
 #TheView https://t.co/Ra54AYmnjO"
1455354760152985600,"Trump: ""#CommonCore is gone [when I'm electd]."" #IACaucus https://t.co/Rb7UrTIEtc"
1455346146918928400,@jonrappoport How the #CommonCore technocrats take your future-adult children's guns by taking their privacy now. https://t.co/CZmGf4qod5
1455346121518223400,"Trump: ""#CommonCore is gone [when I'm electd]."" #IACaucus https://t.co/Rb7UrTIEtc"
1455338586484662300,Michael acts like the captain of a titanic know as #commoncore. Defends it even after it sunk. Tells people it wasn't the ships fault despite the overwhelming evidence that it was a complete and utter #failure. https://t.co/Fl7j4LeMRE
1455332037741662200,"Why are we still accepting #commoncore #math? It was created by a dozen money grabbing fools who never taught math in a K-12 setting. 

This has me absolutely murderous right now. And I love math god damn it. https://t.co/QjOsjZ0y69"
1455329719264632800,There's more to learning than ABC's &amp; 123's https://t.co/qrHcv0JY2P no #commoncore #playmatters https://t.co/gZi3zcSPcB
1455256940444008400,@unusual_whales stable.. what? is that something to do with the vaccines? #CBDC #CCSS #BuildBackBetter
1455088167011430400,"@NorthmanTrader also it was unable to collect the taxes.. thats why they need #WEFagenda, cashless payments, #CBDC #CCSS  #GreenPass #GreenDeal
and minorities type socialism like #MeToo etc.. and #COVID19 to #DigitalTransformation #ID2020 
#ToPayHisTaxes
#BuildBackBetter #BBB https://t.co/iaKOOMsZTb"
1.4551858562019041e+18,"@zerohedge #CCSS China Credit Score System
🥕💉🏏🍆🥒🥕💉🏏🥒🍆🇪🇺🌈🦄🍭🌈🍭🌈 #DoNotComply #LetsGoBrandon"
1454402473112768500,"@SikhForTruth its more like #CBDC + #CCSS (#ChinaCreditScoringSystem) than #blockchain, but yes."
14552551153053e5,There's more to learning than ABC's &amp; 123's https://t.co/qrHcv0JY2P no #commoncore #playmatters https://t.co/gZi3zcSPcB
1455246434190639e3,"Sending your child to a public school is like telling them walk across the road during rush hour traffic. Nothing good can come from it! #Parents #CRT #CommonCore
#Indoctrination 
#Pastors #Church https://t.co/P1Cnw0iyEU"
1455198115233812500,@johnpavlovitz @nazuzuwin Similar to their fear of #CommonCore. Knowledge terrifies them.
1455177902954274800,"Cape Coral schools, Chesterfield Public Schools, #commoncore
City of Falls Church, Colts Neck School District
(K/DRA 3) Read Aloud for Small and Large
FREE activity at
https://t.co/48MLi94V7C
Check out our site: https://t.co/t6LySc6rZ3 https://t.co/iEZMwZbbof"
1455012443869126700,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/vOEvx0aE5h"
1455012341507104800,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/fEO7VEDsfM"
1455012379868205e3,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/DjT45PZOBq"
1455011447331823600,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/vOEvx0aE5h"
1455011367774302200,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/DjT45PZOBq"
1455011243564093400,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/fEO7VEDsfM"
1454681153961541600,"@EatAtJoes7 @upperleftwino @TosoFlash @BDemocratsfor @manifesto2000 @DynastyEnd @pixfiber @Dallas4Bernie @BySallyAlbright @MiddleMolly @BobForDinner @TruthRuththe @shelly_laughing @Sailing_fool @SaginawsSong @banquet_beggars @BubblesToBurst @CyborgBjorn @elevenstars @pepper26potts @itsjustkay0k @darealwiles @FatherOfTheBir9 @McCadeMiller2 @prettynobodyco @ulcerative @M4M4ALL @ReadeAlexandra @TaraReadeTruth @glennkirschner2 @DNC @TaranaBurke @RTAmericaNews @ChrisLynnHedges @maxkeiser @LeeCamp @GovJVentura @JohnRalstonSaul @OurRevolutionPR @OurRevolution @ProudSocialist @TRNshow @ninaturner @Bioregional @kthalps @EdProgress @bc_disability @candisability @GSVteam @NewsHour Still holding a candle for #BillGates' Corporate, er, I mean Common Core State Standards? That's too bad, because the white supremacist #CCSS trash is essentially dead. https://t.co/IRX2ZUf7jf

#JoeBiden 
#Bidenflation 
#BidenIsAFailure 
#JoeBidensAmerica 
#JimCrowJoe #Biden"
1454510705839730700,"@EatAtJoes7 @BDemocratsfor @manifesto2000 @upperleftwino @DynastyEnd @pixfiber @Dallas4Bernie @BySallyAlbright @MiddleMolly @BobForDinner @TruthRuththe @shelly_laughing @Sailing_fool @SaginawsSong @banquet_beggars @BubblesToBurst @CyborgBjorn @elevenstars @pepper26potts @itsjustkay0k @darealwiles @FatherOfTheBir9 @McCadeMiller2 @prettynobodyco @ulcerative @M4M4ALL @ReadeAlexandra @TaraReadeTruth @glennkirschner2 @DNC @TaranaBurke @RTAmericaNews @ChrisLynnHedges @maxkeiser @LeeCamp @GovJVentura @JohnRalstonSaul @OurRevolutionPR @OurRevolution @ProudSocialist @TRNshow @ninaturner @Bioregional @kthalps @EdProgress @bc_disability @candisability @GSVteam @NewsHour Odd, the first book pictured is by Professor Wendy Brown. Wonder why you decided to exclude her photo? At any rate you #BillGates fanbois already know that the critiques of #CCSS from the left are on a different basis than those from the far-right. https://t.co/9GwJdx7TNW"
1454544269339869200,"@EatAtJoes7 @BDemocratsfor @manifesto2000 @upperleftwino @DynastyEnd @pixfiber @Dallas4Bernie @BySallyAlbright @MiddleMolly @BobForDinner @TruthRuththe @shelly_laughing @Sailing_fool @SaginawsSong @banquet_beggars @BubblesToBurst @CyborgBjorn @elevenstars @pepper26potts @itsjustkay0k @darealwiles @FatherOfTheBir9 @McCadeMiller2 @prettynobodyco @ulcerative @M4M4ALL @ReadeAlexandra @TaraReadeTruth @glennkirschner2 @DNC @TaranaBurke @RTAmericaNews @ChrisLynnHedges @maxkeiser @LeeCamp @GovJVentura @JohnRalstonSaul @OurRevolutionPR @OurRevolution @ProudSocialist @TRNshow @ninaturner @Bioregional @kthalps @EdProgress @bc_disability @candisability @GSVteam @NewsHour LOL. Yeah, my opposition to a white supremacist, corporate curriculum (#CCSS) based on the ""great man"" theory of history and a literature list that intentionally eschewed POC really drives home your point #BidenBoi.

#JoeBiden 
#Bidenflation 
#BidenIsAFailure 
#JimCrowJoe #Biden https://t.co/ztrG8yx07i"
1454517723606573e3,"@EatAtJoes7 @BDemocratsfor @manifesto2000 @upperleftwino @DynastyEnd @pixfiber @Dallas4Bernie @BySallyAlbright @MiddleMolly @BobForDinner @TruthRuththe @shelly_laughing @Sailing_fool @SaginawsSong @banquet_beggars @BubblesToBurst @CyborgBjorn @elevenstars @pepper26potts @itsjustkay0k @darealwiles @FatherOfTheBir9 @McCadeMiller2 @prettynobodyco @ulcerative @M4M4ALL @ReadeAlexandra @TaraReadeTruth @glennkirschner2 @DNC @TaranaBurke @RTAmericaNews @ChrisLynnHedges @maxkeiser @LeeCamp @GovJVentura @JohnRalstonSaul @OurRevolutionPR @OurRevolution @ProudSocialist @TRNshow @ninaturner @Bioregional @kthalps @EdProgress @bc_disability @candisability @GSVteam @NewsHour It's so transparent why you support #CCSS. Let me guess, you're on the flight logs with #BillGates and visited the island together?

#JoeBiden 
#Bidenflation 
#BidenIsAFailure 
#JoeBidensAmerica 
#JimCrowJoe #Biden https://t.co/TngS0MICex"
1454466222611853300,"@EatAtJoes7 @manifesto2000 @upperleftwino @DynastyEnd @pixfiber @Dallas4Bernie @BDemocratsfor @BySallyAlbright @MiddleMolly @BobForDinner @TruthRuththe @shelly_laughing @Sailing_fool @SaginawsSong @banquet_beggars @BubblesToBurst @CyborgBjorn @elevenstars @pepper26potts @itsjustkay0k @darealwiles @FatherOfTheBir9 @McCadeMiller2 @prettynobodyco @ulcerative @M4M4ALL @ReadeAlexandra @TaraReadeTruth @glennkirschner2 @DNC @TaranaBurke @RTAmericaNews @ChrisLynnHedges @maxkeiser @LeeCamp @GovJVentura @JohnRalstonSaul @OurRevolutionPR @OurRevolution @ProudSocialist @TRNshow @ninaturner @Bioregional @kthalps @EdProgress @bc_disability @candisability @GSVteam @NewsHour Bill Gates and David Coleman's #CCSS was formed on the basis of the ""Great Man"" theory of history and E. D. Hirsch, Jr.’s “core knowledge” list of literature which, by design, excluded works by #POC. CCSS is literally a white supremacist curriculum. No wonder you support it. https://t.co/K9axvIRaFO"
1454570838871658500,Check out Common Core Math in Action Book Grades K-2 Catherine Jones Kuhns Marrie Lasater  https://t.co/BQd6VYWDJS via @eBay #math #commoncore #commoncoremath #classroom #homeschool #classroom
1454530466011353e3,"CCD Teacher Mug, Funny Sarcastic RE Teaching Superpower Coffee Tea Cup Gift https://t.co/6QsKuheowm #yes #ceramic #commoncoreofdata #ccdteachermug #commoncore #imateacher #teachersuperpower #coffeemug #cup https://t.co/s3P7AaYhTI"
1454262773798645800,Thrilled to be working again w @kenoc7 to help #schoolleaders lead #standardsbasedgrading in their schools  https://t.co/u77aih9tXb #ed #cpchat #EdAdmin #edupd #edulearning #schoolprchat #tweachers #twittereducator #CommonCore #NGSS #C3Standards https://t.co/FggJV4wtY7
